upn,estimate_ap2,actual_ap2,gender_ap2,drama_gcse_level_1/2_ap1,drama_gcse_level_1/2_ap2
g931252517035,25,29,Male,3,3
c931240111011,39,49,Female,6,6
m931321611023,49,52,Female,6,6
e931252510015,44,52,Female,6,6
a931252509041,61,68,Female,7,7
t313201310021,41,55,Female,6,6
z931102210003,69,72,Female,7,7
a931383612039,49,55,Female,6,6
q931252111023,23,29,Male,3,3
h931383611006,46,50,Male,5,5
x931100610005,58,62,Female,6,6
m931252711010,65,64,Male,6,6
v931259309056,36,37,Female,4,4
e931254309074,37,41,Male,4,4
x931383611007,37,45,Female,5,5
p931252110031,18,31,Male,3,3
u931100609049,74,75,Male,7,7
a931383611011,44,50,Male,5,5
z931252110037,34,40,Female,4,4
c931321111011,32,33,Female,4,4
w931252111036,34,41,Female,4,4
q931100609076,49,50,Male,5,5
m931252109066,31,34,Female,4,4
d931100610009,65,74,Female,7,7
m931252711008,49,52,Male,5,5
z931101110015,61,57,Male,6,6
h931252716051,27,31,Male,3,3
t931100610012,74,67,Male,6,6
v931100609071,46,50,Female,6,6
y931321111016,65,60,Male,6,6
d931321113004,74,78,Female,8,8
w931100610014,46,54,Female,6,6
x931259310019,46,48,Male,5,5
j931321010029,54,60,Male,6,6
e931100609077,65,68,Female,7,7
y931261210051,27,31,Female,4,4
t931252110062,46,50,Male,5,5
r931325310051,23,26,Female,3,3
l931260610077,52,60,Male,6,6
b931383411005,49,57,Female,6,6
r931412022016,58,60,Male,6,6
e931101110028,65,62,Male,6,6
g931252110005,26,33,Male,3,3
c931321310005,36,40,Male,3,3
h931253110030,39,40,Male,4,4
z931321113009,74,77,Female,7,7
v931100610023,36,42,Female,5,5
x931261211032,32,38,Male,3,3
m931383611001,69,82,Female,8,8
h931100610033,44,44,Female,5,5
t931101110038,58,63,Female,6,6
l302202811022,41,45,Female,5,5
f931412020044,34,34,Female,4,4
g931101110041,46,49,Male,5,5
v931240111043,46,48,Female,5,5
u931100510047,65,70,Female,7,7
h931259410003,25,28,Female,3,3
d931252509043,39,36,Male,4,4
n931252715063,39,41,Female,5,5
w931252110035,46,54,Female,6,6
l931235210033,65,68,Male,6,6
g931100610042,54,61,Female,6,6
k931252910022,37,36,Male,4,4
a931100510053,49,54,Female,6,6
u208257811003,27,31,Male,3,3
k931100510059,74,82,Female,8,8
z931252711027,19,29,Male,3,3
n931252711028,41,50,Female,5,5
