upn,sen_real,ethnicity_code_real,drama_ap1,drama_ap2,drama_real,pp_bool,fsm_bool,eal_bool
G931252517035,N,ooth,2,2,1,0,0,1
C931240111011,N,apkn,5,5,5,0,0,0
M931321611023,N,wbri,3,5,3,0,0,1
E931252510015,N,wbri,1,3,2,1,1,0
T313201310021,N,bafr,2,4,5,0,0,0
Z931102210003,N,wbri,6,7,8,0,0,0
A931383612039,N,aoth,3,5,5,0,0,1
X931100610005,N,wbri,4,6,5,0,0,0
M931252711010,N,wbri,5,5,5,0,0,0
V931259309056,N,wbri,0,2,1,1,0,0
X931383611007,N,woth,4,5,7,0,0,0
U931100609049,N,wbri,6,6,6,0,0,0
P931412018019,N,ooth,0,0,0,0,0,1
Z931252110037,N,wbri,4,3,2,0,0,0
C931321111011,E,wbri,3,3,5,0,0,0
W931252111036,N,moth,1,4,3,1,1,1
Q931100609076,N,wbri,6,7,6,0,0,0
M931252109066,N,wbri,0,2,1,1,0,0
D931100610009,N,wbri,6,6,7,0,0,0
X931252714050,N,woth,4,6,5,0,0,1
M931252711008,N,wbri,5,5,4,0,0,0
E931324311001,N,wbri,4,4,4,1,0,0
Z931101110015,K,wbri,2,3,3,0,0,0
H931252716051,N,aind,1,2,1,1,1,0
T931100610012,N,wbri,6,6,7,0,0,0
V931100609071,N,mwas,4,5,6,0,0,0
Y931321111016,N,wbri,4,5,4,0,0,0
W931100610014,N,moth,2,5,4,1,1,0
D931321113004,N,wbri,7,9,9,0,0,0
X931259310019,K,wbri,3,3,3,1,1,0
E931100609077,N,wbri,5,6,4,0,0,0
Q931414519083,N,aoth,0,1,2,0,0,1
Y931261210051,K,wbri,2,2,0,1,1,0
N931412020012,N,nobt,8,8,8,0,0,0
B931383411005,N,wbri,5,5,6,0,0,0
R931412022016,N,wbri,6,6,6,0,0,0
E931101110028,N,woth,0,4,3,0,0,1
N931383311012,N,mwba,2,2,2,0,0,0
H931253110030,N,wbri,3,3,2,1,1,0
Z931321113009,N,moth,5,5,5,0,0,0
V931100610023,N,wbri,5,5,5,0,0,0
X931261211032,N,apkn,1,3,2,0,0,0
M931383611001,N,mwai,8,8,8,0,0,0
H931100610033,N,mwas,6,6,6,0,0,0
T931101110038,N,nobt,0,2,1,0,0,0
L302202811022,K,wbri,6,9,7,0,0,0
F931412020044,N,woth,2,6,5,0,0,0
G931101110041,N,wbri,5,5,5,1,1,0
D931252509043,K,aban,1,3,3,0,0,0
N931252715063,N,woth,4,6,5,0,0,1
W931252110035,N,wbri,7,7,6,1,1,0
G931100610042,N,wbri,5,7,7,0,0,0
K931252910022,N,wbri,2,2,2,1,1,0
A931100510053,N,wbri,8,8,9,0,0,0
U208257811003,N,wbri,3,7,6,0,0,0
K931100510059,N,wbri,8,8,9,0,0,0
N931252711028,N,apkn,4,4,4,0,0,1
